,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,OWN_AUTO,GEN_INDUSTRY,GEN_TITLE,JOB_DIR,WORK_TIME,FAMILY_INCOME,PERSONAL_INCOME,FACT_FO,TARGET
14,45,1,Среднее специальное,Разведен(а),3,1,1,0,0,0,Государственная служба,Рабочий,Служба безопасности,72.0,от 10000 до 20000 руб.,12000.0,СЗФО,0
15,38,1,Высшее,Состою в браке,0,1,1,0,0,0,Государственная служба,Высококвалифиц. специалист,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,20000.0,ДФО,0
16,41,1,Высшее,Разведен(а),0,0,1,0,1,0,Торговля,Индивидуальный предприниматель,Участие в основ. деятельности,168.0,свыше 50000 руб.,60000.0,ДФО,1
18,29,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,8.0,от 10000 до 20000 руб.,5200.0,УФО,0
19,34,0,Среднее,Гражданский брак,0,0,1,0,0,0,Строительство,Рабочий,Участие в основ. деятельности,13.0,свыше 50000 руб.,35000.0,ДФО,1
20,28,1,Высшее,Не состоял в браке,0,0,1,0,0,0,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,60.0,от 10000 до 20000 руб.,15000.0,СФО,0
21,37,1,Высшее,Состою в браке,1,1,1,0,1,0,Образование,Специалист,Участие в основ. деятельности,192.0,от 10000 до 20000 руб.,10000.0,ЦФО,0
22,42,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,76.0,от 10000 до 20000 руб.,10000.0,ЦФО,0
23,45,1,Высшее,Разведен(а),3,2,1,0,0,0,Транспорт,Специалист,Участие в основ. деятельности,120.0,от 10000 до 20000 руб.,14000.0,СЗФО,0
24,32,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,Здравоохранение,Специалист,Участие в основ. деятельности,108.0,от 10000 до 20000 руб.,10000.0,ЮФО,0
25,33,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,8000.0,ЮФО,0
26,38,1,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,Торговля,Рабочий,Участие в основ. деятельности,18.0,от 10000 до 20000 руб.,13000.0,УФО,0
27,27,1,Высшее,Состою в браке,0,0,1,0,0,1,Торговля,Руководитель среднего звена,Участие в основ. деятельности,60.0,от 20000 до 50000 руб.,12500.0,СЗФО,0
28,31,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Другие сферы,Специалист,Участие в основ. деятельности,15.0,от 20000 до 50000 руб.,12000.0,ДФО,1
29,40,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Другие сферы,Рабочий,Участие в основ. деятельности,2.0,от 20000 до 50000 руб.,20000.0,СЗФО,0
31,40,1,Среднее специальное,Состою в браке,3,2,1,0,0,1,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,96.0,от 20000 до 50000 руб.,11000.0,СЗФО,0
32,27,0,Высшее,Состою в браке,1,1,1,0,0,0,Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,108.0,от 10000 до 20000 руб.,15000.0,СЗФО,0
33,49,1,Среднее специальное,Не состоял в браке,2,0,1,0,0,0,Торговля,Рабочий,Участие в основ. деятельности,20.0,от 5000 до 10000 руб.,5000.0,ЮФО,0
34,29,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,Транспорт,Работник сферы услуг,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,10000.0,УФО,0
35,61,1,Высшее,Состою в браке,0,0,1,0,0,0,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,96.0,от 10000 до 20000 руб.,13000.0,ЦФО,0
36,43,1,Среднее специальное,Состою в браке,2,2,1,0,0,1,Металлургия/Промышленность/Машиностроение,Рабочий,Вспомогательный техперсонал,12.0,от 20000 до 50000 руб.,30000.0,ЦФО,0
37,38,0,Высшее,Не состоял в браке,0,0,1,0,1,0,Банк/Финансы,Специалист,Участие в основ. деятельности,6.0,от 20000 до 50000 руб.,23000.0,СФО,0
38,38,0,Среднее специальное,Состою в браке,4,4 и более,1,0,0,1,Другие сферы,Руководитель высшего звена,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,15000.0,ЦФО,0
39,49,0,Среднее специальное,Состою в браке,2,0,1,0,1,0,Ресторанный бизнес/Общественное питание,Рабочий,Участие в основ. деятельности,240.0,от 10000 до 20000 руб.,10000.0,ПФО,0
40,44,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,Другие сферы,Руководитель высшего звена,Участие в основ. деятельности,180.0,от 10000 до 20000 руб.,13000.0,ПФО,0
42,28,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,3.0,от 10000 до 20000 руб.,8000.0,ПФО,0
43,31,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,Металлургия/Промышленность/Машиностроение,Рабочий,Пр-техн. обесп. и телеком.,96.0,от 20000 до 50000 руб.,20000.0,ПФО,0
45,54,1,Высшее,Состою в браке,2,0,1,0,1,0,Торговля,Специалист,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,8000.0,ПФО,0
46,48,1,Среднее специальное,Состою в браке,2,0,1,0,1,0,Государственная служба,Специалист,Участие в основ. деятельности,144.0,от 10000 до 20000 руб.,13000.0,СЗФО,0
47,24,0,Высшее,Состою в браке,0,0,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,30.0,свыше 50000 руб.,50000.0,СФО,0
48,48,1,Высшее,Вдовец/Вдова,0,0,1,0,1,0,Образование,Высококвалифиц. специалист,Участие в основ. деятельности,132.0,от 20000 до 50000 руб.,15000.0,ДФО,0
49,43,1,Неоконченное высшее,Разведен(а),1,1,1,0,0,0,Образование,Специалист,Участие в основ. деятельности,72.0,от 20000 до 50000 руб.,20000.0,СЗФО,0
50,23,0,Среднее специальное,Состою в браке,1,1,1,0,0,1,Строительство,Специалист,Участие в основ. деятельности,30.0,от 20000 до 50000 руб.,18000.0,ДФО,0
51,54,1,Среднее специальное,Не состоял в браке,2,0,1,0,0,0,Торговля,Работник сферы услуг,Участие в основ. деятельности,120.0,свыше 50000 руб.,40000.0,УФО,0
52,37,0,Среднее,Состою в браке,1,1,1,0,0,1,Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,14.0,от 10000 до 20000 руб.,10000.0,УФО,0
53,47,1,Высшее,Состою в браке,0,0,1,0,1,0,Строительство,Высококвалифиц. специалист,Участие в основ. деятельности,14.0,от 20000 до 50000 руб.,20000.0,СЗФО,0
55,24,0,Среднее,Состою в браке,0,0,1,0,0,0,Строительство,Специалист,Участие в основ. деятельности,36.0,от 10000 до 20000 руб.,15000.0,ЦФО,0
56,48,1,Среднее,Не состоял в браке,0,0,1,0,1,0,Сельское хозяйство,Рабочий,Участие в основ. деятельности,324.0,от 10000 до 20000 руб.,11000.0,ЦФО,0
58,34,1,Высшее,Не состоял в браке,0,0,1,0,0,0,Образование,Специалист,Участие в основ. деятельности,29.0,от 20000 до 50000 руб.,9000.0,ДФО,0
59,31,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,96.0,от 20000 до 50000 руб.,12800.0,ДФО,0
60,31,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Торговля,Рабочий,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,20000.0,ПФО,0
61,35,1,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,Торговля,Рабочий,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,15000.0,СФО,1
63,35,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Здравоохранение,Специалист,Участие в основ. деятельности,72.0,от 20000 до 50000 руб.,15000.0,ДФО,0
65,52,0,Среднее,Состою в браке,0,1,1,0,0,0,Сельское хозяйство,Рабочий,Участие в основ. деятельности,360.0,от 10000 до 20000 руб.,7000.0,СФО,0
66,34,0,Среднее,Состою в браке,2,2,1,0,0,0,Металлургия/Промышленность/Машиностроение,Служащий,Участие в основ. деятельности,180.0,от 10000 до 20000 руб.,6000.0,ЦФО,1
67,44,0,Неполное среднее,Гражданский брак,3,3,1,0,0,0,Государственная служба,Рабочий,Пр-техн. обесп. и телеком.,108.0,от 10000 до 20000 руб.,11000.0,СФО,0
69,30,0,Среднее специальное,Разведен(а),0,0,1,0,0,0,Транспорт,Рабочий,Участие в основ. деятельности,48.0,от 20000 до 50000 руб.,30000.0,УФО,0
70,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Другие сферы,Специалист,Участие в основ. деятельности,36.0,от 5000 до 10000 руб.,5300.0,ЮФО,0
71,35,1,Высшее,Не состоял в браке,0,0,1,0,1,0,Государственная служба,Специалист,Участие в основ. деятельности,4.0,свыше 50000 руб.,50000.0,ДФО,0
72,48,1,Среднее специальное,Состою в браке,2,0,1,0,1,0,Сельское хозяйство,Специалист,Участие в основ. деятельности,120.0,от 10000 до 20000 руб.,11000.0,СЗФО,0
74,29,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,96.0,от 20000 до 50000 руб.,11700.0,ПФО,0
75,30,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Вспомогательный техперсонал,60.0,от 10000 до 20000 руб.,8000.0,ПФО,0
76,31,1,Среднее,Состою в браке,1,1,1,0,1,0,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,5000.0,ПФО,0
77,51,1,Среднее специальное,Состою в браке,2,0,1,0,0,0,Страхование,Специалист,Участие в основ. деятельности,60.0,от 10000 до 20000 руб.,7500.0,ПФО,0
78,47,0,Среднее специальное,Состою в браке,2,1,1,0,1,1,Другие сферы,Руководитель среднего звена,Участие в основ. деятельности,252.0,от 20000 до 50000 руб.,18000.0,ПФО,0
79,26,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,0,0,Государственная служба,Специалист,Участие в основ. деятельности,24.0,от 5000 до 10000 руб.,8000.0,ЮФО,0
80,44,0,Среднее специальное,Состою в браке,2,2,1,0,0,0,Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,20000.0,СЗФО,0
81,33,1,Высшее,Состою в браке,1,1,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,12.0,от 10000 до 20000 руб.,10000.0,ПФО,1
82,35,1,Высшее,Не состоял в браке,0,0,1,0,0,0,Банк/Финансы,Специалист,"Бухгалтерия, финансы, планир.",28.0,от 10000 до 20000 руб.,9000.0,СЗФО,0
83,51,1,Среднее специальное,Вдовец/Вдова,1,0,1,0,1,0,Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,300.0,от 10000 до 20000 руб.,11000.0,ЦФО,0
84,43,1,Высшее,Состою в браке,1,1,1,0,0,0,СМИ/Реклама/PR-агенства,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",12.0,от 20000 до 50000 руб.,15000.0,ЮФО,0
85,35,0,Среднее специальное,Не состоял в браке,1,1,1,0,0,1,Транспорт,Специалист,Участие в основ. деятельности,4.0,от 10000 до 20000 руб.,15000.0,ДФО,0
86,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Торговля,Рабочий,Участие в основ. деятельности,12.0,от 10000 до 20000 руб.,10000.0,ЦФО,1
87,54,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,Сельское хозяйство,Руководитель среднего звена,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,15000.0,СЗФО,0
88,28,1,Неполное среднее,Состою в браке,1,1,1,0,0,0,Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,8000.0,ПФО,0
89,53,0,Среднее специальное,Состою в браке,2,0,1,0,0,1,Другие сферы,Специалист,Участие в основ. деятельности,72.0,от 20000 до 50000 руб.,25000.0,ДФО,0
90,29,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,Другие сферы,Рабочий,Участие в основ. деятельности,12.0,от 10000 до 20000 руб.,11000.0,ЦФО,0
91,59,1,Высшее,Разведен(а),1,0,1,0,0,0,Образование,Рабочий,Вспомогательный техперсонал,48.0,от 10000 до 20000 руб.,8500.0,ЦФО,0
92,56,0,Среднее специальное,Состою в браке,3,0,1,0,0,0,Сельское хозяйство,Рабочий,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,4000.0,ПФО,0
93,37,1,Среднее,Состою в браке,3,3,1,1,1,0,Другие сферы,Рабочий,Участие в основ. деятельности,192.0,от 20000 до 50000 руб.,15000.0,СЗФО,0
94,51,0,Среднее специальное,Состою в браке,1,0,1,0,0,0,Другие сферы,Работник сферы услуг,Участие в основ. деятельности,196.0,от 10000 до 20000 руб.,8000.0,СКФО,0
95,63,0,Среднее,Состою в браке,1,0,1,0,0,0,Государственная служба,Рабочий,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,10000.0,ЦФО,0
96,31,0,Высшее,Состою в браке,0,0,1,0,0,0,Энергетика,Руководитель низшего звена,Снабжение и сбыт,94.0,от 20000 до 50000 руб.,18000.0,ЦФО,0
97,58,0,Высшее,Состою в браке,3,1,1,0,0,0,Строительство,Руководитель высшего звена,Участие в основ. деятельности,108.0,от 20000 до 50000 руб.,15000.0,ЦФО,0
98,48,0,Среднее специальное,Состою в браке,2,0,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,25.0,от 10000 до 20000 руб.,12000.0,ЦФО,0
99,37,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Здравоохранение,Другое,Участие в основ. деятельности,190.0,от 10000 до 20000 руб.,7300.0,ЮФО,0
100,52,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,Сельское хозяйство,Специалист,"Бухгалтерия, финансы, планир.",348.0,от 20000 до 50000 руб.,25000.0,ЦФО,0
101,52,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,Другие сферы,Рабочий,Вспомогательный техперсонал,96.0,от 10000 до 20000 руб.,8000.0,ЮФО,0
102,37,0,Среднее специальное,Разведен(а),0,0,1,0,0,1,Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,120.0,от 10000 до 20000 руб.,12000.0,ЮФО,0
103,22,0,Среднее специальное,Не состоял в браке,1,0,1,0,0,0,Другие сферы,Специалист,Участие в основ. деятельности,10.0,от 10000 до 20000 руб.,8000.0,ПФО,0
104,36,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,Торговля,Служащий,Участие в основ. деятельности,205.0,от 20000 до 50000 руб.,10000.0,УФО,0
105,37,0,Среднее,Состою в браке,1,1,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,62.0,от 10000 до 20000 руб.,14500.0,ЦФО,0
107,26,0,Высшее,Не состоял в браке,0,0,1,0,1,0,Государственная служба,Специалист,Участие в основ. деятельности,14.0,от 10000 до 20000 руб.,10000.0,СФО,0
110,45,1,Среднее,Не состоял в браке,1,1,1,0,0,0,Сельское хозяйство,Рабочий,Участие в основ. деятельности,12.0,от 10000 до 20000 руб.,5000.0,ПФО,0
111,22,0,Среднее специальное,Состою в браке,1,2,1,0,0,0,Энергетика,Рабочий,Участие в основ. деятельности,19.0,от 10000 до 20000 руб.,12000.0,СФО,0
112,57,0,Среднее,Не состоял в браке,0,0,1,1,0,1,Другие сферы,Рабочий,Участие в основ. деятельности,48.0,от 20000 до 50000 руб.,30000.0,ДФО,0
114,39,0,Высшее,Состою в браке,2,2,1,0,0,0,Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,180.0,от 20000 до 50000 руб.,27000.0,СФО,0
115,37,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,Здравоохранение,Работник сферы услуг,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,9000.0,ЦФО,0
116,41,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,Другие сферы,Высококвалифиц. специалист,Участие в основ. деятельности,252.0,от 10000 до 20000 руб.,18000.0,СЗФО,0
117,34,0,Среднее специальное,Состою в браке,2,2,1,0,0,0,Образование,Служащий,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,6000.0,ЦФО,0
118,44,0,Среднее специальное,Состою в браке,1,0,1,0,0,1,Строительство,Служащий,Вспомогательный техперсонал,36.0,от 20000 до 50000 руб.,15000.0,ЮФО,0
119,38,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,Государственная служба,Служащий,Служба безопасности,120.0,от 20000 до 50000 руб.,13500.0,СФО,0
120,40,1,Высшее,Состою в браке,1,1,1,0,0,0,Образование,Специалист,Участие в основ. деятельности,120.0,от 10000 до 20000 руб.,6500.0,СФО,0
121,40,0,Среднее специальное,Состою в браке,2,2,1,0,1,1,Нефтегазовая промышленность,Специалист,Пр-техн. обесп. и телеком.,156.0,от 20000 до 50000 руб.,14000.0,ПФО,0
122,27,1,Неоконченное высшее,Состою в браке,1,1,1,0,0,1,Строительство,Руководитель низшего звена,Участие в основ. деятельности,16.0,от 20000 до 50000 руб.,15000.0,ПФО,0
123,29,0,Высшее,Состою в браке,1,1,1,0,0,0,Государственная служба,Специалист,Участие в основ. деятельности,84.0,от 20000 до 50000 руб.,20000.0,ДФО,0
124,28,1,Высшее,Состою в браке,1,1,1,0,0,0,Банк/Финансы,Служащий,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,10000.0,СЗФО,0
125,41,1,Среднее специальное,Не состоял в браке,2,1,1,0,1,0,Сельское хозяйство,Служащий,Участие в основ. деятельности,38.0,от 10000 до 20000 руб.,8600.0,СФО,0
126,39,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Торговля,Рабочий,Участие в основ. деятельности,72.0,от 20000 до 50000 руб.,35000.0,ДФО,0
127,43,0,Среднее,Состою в браке,0,0,1,0,0,1,Транспорт,Специалист,Участие в основ. деятельности,144.0,от 20000 до 50000 руб.,15000.0,СЗФО,0
129,50,1,Высшее,Состою в браке,0,0,1,0,0,0,Образование,Специалист,Участие в основ. деятельности,216.0,от 20000 до 50000 руб.,15000.0,СФО,0
130,38,0,Среднее,Состою в браке,4,4 и более,1,0,1,1,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,38000.0,СЗФО,0
131,51,1,Среднее специальное,Разведен(а),0,0,1,0,1,0,Другие сферы,Специалист,Участие в основ. деятельности,72.0,от 20000 до 50000 руб.,25000.0,ЦФО,0
132,54,1,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,Транспорт,Рабочий,Участие в основ. деятельности,15.0,от 20000 до 50000 руб.,11000.0,ДФО,1
133,35,1,Высшее,Состою в браке,1,1,1,0,0,0,Салоны красоты и здоровья,Специалист,Участие в основ. деятельности,70.0,от 20000 до 50000 руб.,15000.0,ПФО,0
134,27,1,Высшее,Состою в браке,2,2,1,0,0,0,Торговля,Работник сферы услуг,Участие в основ. деятельности,10.0,от 20000 до 50000 руб.,10000.0,ДФО,0
135,48,1,Неполное среднее,Состою в браке,2,0,1,0,1,0,Другие сферы,Рабочий,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,6000.0,ПФО,0
136,50,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,ЧОП/Детективная д-ть,Специалист,Участие в основ. деятельности,48.0,от 20000 до 50000 руб.,12000.0,ДФО,0
137,41,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,Другие сферы,Служащий,Участие в основ. деятельности,228.0,от 5000 до 10000 руб.,5000.0,ЦФО,0
138,42,1,Неоконченное высшее,Состою в браке,1,1,1,0,1,0,Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,126.0,от 10000 до 20000 руб.,10000.0,ЦФО,0
139,29,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Государственная служба,Рабочий,Участие в основ. деятельности,3.0,от 10000 до 20000 руб.,6200.0,СКФО,0
140,27,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,24.0,от 20000 до 50000 руб.,10000.0,УФО,0
141,40,0,Высшее,Состою в браке,2,2,1,0,1,0,Торговля,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",24.0,от 20000 до 50000 руб.,20000.0,СЗФО,0
142,29,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Торговля,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",18.0,от 10000 до 20000 руб.,15000.0,СФО,0
143,53,1,Среднее,Разведен(а),0,0,1,0,0,0,Ресторанный бизнес/Общественное питание,Рабочий,Вспомогательный техперсонал,120.0,от 5000 до 10000 руб.,6000.0,ПФО,0
144,46,0,Высшее,Состою в браке,1,0,1,0,0,0,Другие сферы,Специалист,Вспомогательный техперсонал,48.0,от 10000 до 20000 руб.,8000.0,ЦФО,0
146,32,1,Среднее специальное,Не состоял в браке,1,1,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,60.0,от 10000 до 20000 руб.,10500.0,ЦФО,0
147,56,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,Другие сферы,Специалист,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,170000.0,ДФО,0
148,51,1,Среднее специальное,Состою в браке,0,0,1,1,0,0,Здравоохранение,Рабочий,Участие в основ. деятельности,312.0,от 10000 до 20000 руб.,15000.0,ЮФО,0
149,31,1,Высшее,Разведен(а),2,2,1,0,1,0,Развлечения/Искусство,Специалист,"Бухгалтерия, финансы, планир.",28.0,от 10000 до 20000 руб.,15000.0,СФО,0
150,51,1,Среднее специальное,Состою в браке,2,0,1,0,0,0,Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,42.0,от 10000 до 20000 руб.,10000.0,ПФО,0
151,43,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Здравоохранение,Специалист,Участие в основ. деятельности,360.0,от 10000 до 20000 руб.,8000.0,ПФО,0
152,35,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Образование,Рабочий,Участие в основ. деятельности,13.0,от 10000 до 20000 руб.,10000.0,ЮФО,0
153,38,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Торговля,Специалист,"Бухгалтерия, финансы, планир.",30.0,от 10000 до 20000 руб.,9000.0,ПФО,0
154,55,0,Среднее специальное,Состою в браке,0,0,1,0,1,0,Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,420.0,от 20000 до 50000 руб.,20000.0,ЦФО,0
155,37,1,Высшее,Разведен(а),2,2,1,0,0,0,Сельское хозяйство,Руководитель высшего звена,"Бухгалтерия, финансы, планир.",7.0,свыше 50000 руб.,60000.0,СЗФО,0
156,38,0,Среднее,Состою в браке,2,2,1,0,0,1,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,108.0,от 10000 до 20000 руб.,10000.0,СФО,0
157,23,1,Среднее,Не состоял в браке,2,2,1,0,0,0,Государственная служба,Служащий,Вспомогательный техперсонал,48.0,от 5000 до 10000 руб.,8000.0,ДФО,0
158,53,0,Среднее специальное,Состою в браке,2,0,1,0,0,1,Сельское хозяйство,Рабочий,Участие в основ. деятельности,360.0,от 20000 до 50000 руб.,7000.0,СФО,0
159,40,0,Среднее специальное,Состою в браке,2,0,1,0,0,0,Сельское хозяйство,Рабочий,Вспомогательный техперсонал,180.0,от 10000 до 20000 руб.,7800.0,ПФО,0
161,59,1,Среднее,Состою в браке,3,1,1,1,1,0,Наука,Специалист,Участие в основ. деятельности,180.0,свыше 50000 руб.,18000.0,СЗФО,0
163,37,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,10000.0,ЦФО,0
164,27,0,Среднее,Состою в браке,2,2,1,0,1,0,Строительство,Специалист,Снабжение и сбыт,12.0,от 10000 до 20000 руб.,12000.0,СФО,1
165,63,1,Высшее,Состою в браке,0,0,1,0,0,0,Здравоохранение,Руководитель высшего звена,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,25000.0,СФО,0
166,57,1,Среднее специальное,Разведен(а),0,0,1,0,0,0,Транспорт,Специалист,Участие в основ. деятельности,240.0,от 10000 до 20000 руб.,12000.0,СЗФО,0
167,42,0,Среднее специальное,Разведен(а),0,0,1,0,0,1,Транспорт,Специалист,Участие в основ. деятельности,216.0,от 10000 до 20000 руб.,15000.0,ПФО,1
168,31,0,Неоконченное высшее,Состою в браке,2,2,1,0,0,0,Металлургия/Промышленность/Машиностроение,Специалист,Вспомогательный техперсонал,84.0,от 10000 до 20000 руб.,10000.0,ЦФО,0
